,"données brutes de fichier de digit de branche fuji36, branche + arbre fuji 42 et branche fuji 48 réarrangées",,,,,,,,,,,,,,,L*l*coef allométrie 2001/10,
#,X,Y,Z,A,B,C,code rameau,type rameau,Long rameau(mm),Long rameau(cm),Nbr feuille,L feuille(mm),largeur feuille,N° fruit,L digitalisée,Surf foliaire(cm²),somme surf foliaire rameau
1,144.43,31.93,-195.81,-120.49,68.25,-18.75,F36I1,I,6,0.60,3,,,,0.57,,10.429965
1,144.54,32.04,-195.26,-125.69,70.54,-24,,,, ,,,,, ,,
1,144.37,32.96,-196.51,-34.73,-15.17,42.53,,,, ,L1,35,24,,,6.19164,
1,143.08,31.71,-196.37,-50.26,17.03,-3.94,,,, ,L2,25,22,,,4.05405,
1,144.02,32.69,-195.41,-55.04,-31.21,129.24,,,, ,L3,5,5,,,0.184275,
1,144.69,32.25,-197.19,-54.25,26,28.57,F36I2,I,6,0.60,2,,,,0.73,,11.513502
1,145.33,32.55,-196.99,-53.2,25.53,29.45,,,, ,,,,, ,,
1,145.24,33.37,-197.37,-80.01,24.92,28.1,,,, ,L1,22,29,,,4.702698,
1,145.15,31.23,-197.5,84.09,-32.82,-66.64,,,, ,L2,33,28,,,6.810804,
1,145.79,32.63,-196.35,-58.32,73.58,81.89,F36PC1,PC,8,0.80,4,,,,0.72,,48.302163
1,146.47,32.76,-196.53,-97.37,57.39,52.42,,,, ,,,,, ,,
1,145.9,32.75,-197.22,-58.86,-35.27,45.78,,,, ,L1,52,26,,,9.965592,
1,144.85,32.91,-198.66,-37.09,-38.12,29.64,,,, ,L2,59,37,,,16.090893,
1,146.58,32.91,-197.55,-177.03,-16.37,-57.82,,,, ,L3,39,30,,,8.62407,
1,146.08,34.23,-196.6,-121.36,10.43,2.01,,,, ,L4,56,33,,,13.621608,
1,145.68,31.39,-196.82,-145.17,12.37,18.31,F36PC2,PC,8,0.80,4,,,,0.84,,62.542935
1,145.98,32.02,-197.28,-145.35,14.27,20.47,,,, ,,,,, ,,
